name,handedness,Height Groups,height,weight groups,weight,batting average,home run
Ramon Manon,Right,70-74,72,140 -159,150,0.000,0
Ramon Pena,Right,70-74,70,140 -159,155,0.000,0
Francisco Barrios,Right,70-74,71,140 -159,155,0.000,0
Bill Wilkinson,Right,70-74,70,160 - 179,160,0.000,0
Narciso Elvira,Left,70-74,70,160 - 179,160,0.000,0
Rafael Vasquez,Right,70-74,72,160 - 179,160,0.000,0
Tony Ferreira,Left,70-74,73,160 - 179,160,0.000,0
Win Remmerswaal,Right,70-74,74,160 - 179,160,0.000,0
Angel Moreno,Left,65-69,69,160 - 179,165,0.000,0
Brian Dubois,Left,70-74,70,160 - 179,165,0.000,0
Jim Wright,Right,70-74,73,160 - 179,165,0.000,0
Israel Sanchez,Left,65-69,69,160 - 179,170,0.000,0
Todd Fischer,Right,70-74,70,160 - 179,170,0.000,0
Tony Arnold,Right,70-74,71,160 - 179,170,0.000,0
Bill Castro,Right,70-74,71,160 - 179,170,0.000,0
Paul Wilmet,Right,70-74,71,160 - 179,170,0.000,0
De Wayne Buice,Right,70-74,72,160 - 179,170,0.000,0
Tom Brown,Right,70-74,73,160 - 179,170,0.000,0
Luis Sanchez,Right,70-74,74,160 - 179,170,0.000,0
Charlie Mitchell,Right,75-79,75,160 - 179,170,0.000,0
Ike Brookens,Right,75-79,77,160 - 179,170,0.000,0
Oswaldo Peraza,Right,75-79,76,160 - 179,172,0.000,0
Barry Raziano,Both,70-74,70,160 - 179,175,0.000,0
Len Whitehouse,Left,70-74,71,160 - 179,175,0.000,0
Lafayette Currence,Both,70-74,71,160 - 179,175,0.000,0
Craig Eaton,Right,70-74,71,160 - 179,175,0.000,0
Jim Campbell,Left,70-74,71,160 - 179,175,0.000,0
Jose Roman,Right,70-74,72,160 - 179,175,0.000,0
Pat Underwood,Left,70-74,72,160 - 179,175,0.000,0
Roy Branch,Right,70-74,72,160 - 179,175,0.000,0
Bob Veselic,Right,70-74,72,160 - 179,175,0.000,0
Bill Mooneyham,Right,70-74,72,160 - 179,175,0.000,0
Bill Paschall,Right,70-74,72,160 - 179,175,0.000,0
John Bohnet,Both,70-74,72,160 - 179,175,0.000,0
John Flinn,Right,70-74,72,160 - 179,175,0.000,0
Jerry Kutzler,Left,70-74,73,160 - 179,175,0.000,0
Brian Allard,Right,70-74,73,160 - 179,175,0.000,0
Mike Warren,Right,70-74,73,160 - 179,175,0.000,0
Clint Zavaras,Right,70-74,73,160 - 179,175,0.000,0
Byron McLaughlin,Right,70-74,73,160 - 179,175,0.000,0
Jeff Sellers,Right,70-74,73,160 - 179,175,0.000,0
Don Gordon,Right,70-74,73,160 - 179,175,0.000,0
John Pawlowski,Right,70-74,74,160 - 179,175,0.000,0
Jack Hardy,Right,70-74,74,160 - 179,175,0.000,0
Luis Quintana,Left,70-74,74,160 - 179,175,0.000,0
Curt Kaufman,Right,70-74,74,160 - 179,175,0.000,0
Danny Fife,Right,75-79,75,160 - 179,175,0.000,0
Juan Nieves,Left,75-79,75,160 - 179,175,0.000,0
Eric Hetzel,Right,75-79,75,160 - 179,175,0.000,0
Dave Rajsich,Left,75-79,77,160 - 179,175,0.000,0
Tony Mack,Right,70-74,70,160 - 179,177,0.000,0
Tony Chevez,Right,70-74,71,160 - 179,177,0.000,0
Luis Encarnacion,Right,70-74,70,160 - 179,178,0.000,0
Bruce Taylor,Right,70-74,72,160 - 179,178,0.000,0
Allan Ramirez,Right,70-74,70,180-199,180,0.000,0
Leon Hooten,Right,70-74,71,180-199,180,0.000,0
Jose Cecena,Right,70-74,71,180-199,180,0.000,0
Carlos Velazquez,Right,70-74,71,180-199,180,0.000,0
Glen Cook,Right,70-74,71,180-199,180,0.000,0
De Wayne Vaughn,Right,70-74,71,180-199,180,0.000,0
Dewey Robinson,Right,70-74,72,180-199,180,0.000,0
Mark Souza,Left,70-74,72,180-199,180,0.000,0
Mark Ciardi,Right,70-74,72,180-199,180,0.000,0
Dennis Burtt,Right,70-74,72,180-199,180,0.000,0
Bruce Ellingsen,Left,70-74,72,180-199,180,0.000,0
Tom McCarthy,Right,70-74,72,180-199,180,0.000,0
Mike Trujillo,Right,70-74,73,180-199,180,0.000,0
Terry Taylor,Right,70-74,73,180-199,180,0.000,0
Terry Felton,Right,70-74,73,180-199,180,0.000,0
Ray Chadwick,Both,70-74,74,180-199,180,0.000,0
Fernando Arroyo,Right,70-74,74,180-199,180,0.000,0
Keith Creel,Right,70-74,74,180-199,180,0.000,0
Mike Bacsik,Right,70-74,74,180-199,180,0.000,0
Phil Huffman,Right,70-74,74,180-199,180,0.000,0
Larry Rothschild,Left,70-74,74,180-199,180,0.000,0
Zach Crouch,Left,75-79,75,180-199,180,0.000,0
Mike Smith,Right,75-79,75,180-199,180,0.000,0
Craig Mitchell,Right,75-79,75,180-199,180,0.000,0
John Caneira,Right,75-79,75,180-199,180,0.000,0
Jeff Bettendorf,Right,75-79,75,180-199,180,0.000,0
Greg Thayer,Right,70-74,71,180-199,182,0.000,0
Jay Pettibone,Right,75-79,76,180-199,182,0.000,0
Jerry Augustine,Left,70-74,72,180-199,183,0.000,0
Dave Johnson,Right,70-74,73,180-199,183,0.000,0
Tom Makowski,Right,70-74,71,180-199,185,0.000,0
Joe Pactwa,Left,70-74,71,180-199,185,0.000,0
Gary Ignasiak,Right,70-74,71,180-199,185,0.000,0
Chico Escarrega,Right,70-74,71,180-199,185,0.000,0
Frank Eufemia,Right,70-74,71,180-199,185,0.000,0
Joel McKeon,Left,70-74,72,180-199,185,0.000,0
Luis Aponte,Right,70-74,72,180-199,185,0.000,0
Bob Davidson,Right,70-74,72,180-199,185,0.000,0
Rich Wortham,Right,70-74,72,180-199,185,0.000,0
John LaRose,Left,70-74,73,180-199,185,0.000,0
Gil Patterson,Right,70-74,73,180-199,185,0.000,0
Randy Scarbery,Both,70-74,73,180-199,185,0.000,0
Tom Gilles,Right,70-74,73,180-199,185,0.000,0
Randy Wiles,Left,70-74,73,180-199,185,0.000,0
Dave Stapleton,Left,70-74,73,180-199,185,0.000,0
Mike Kinnunen,Left,70-74,73,180-199,185,0.000,0
Don Cooper,Right,70-74,73,180-199,185,0.000,0
Steve Eddy,Right,70-74,74,180-199,185,0.000,0
Ron Musselman,Right,70-74,74,180-199,185,0.000,0
Rick Kreuger,Right,70-74,74,180-199,185,0.000,0
Jeff Twitty,Left,70-74,74,180-199,185,0.000,0
Stan Thomas,Right,70-74,74,180-199,185,0.000,0
Alex Sanchez,Right,70-74,74,180-199,185,0.000,0
Colby Ward,Right,70-74,74,180-199,185,0.000,0
Shawn Holman,Right,70-74,74,180-199,185,0.000,0
Jeff Barkley,Both,75-79,75,180-199,185,0.000,0
Gary Mielke,Right,75-79,75,180-199,185,0.000,0
Rob Woodward,Right,75-79,75,180-199,185,0.000,0
Alfredo Martinez,Right,75-79,75,180-199,185,0.000,0
Brian Snyder,Left,75-79,75,180-199,185,0.000,0
Jeff Richardson,Right,75-79,75,180-199,185,0.000,0
John Butcher,Right,75-79,76,180-199,185,0.000,0
Daryl Smith,Right,75-79,76,180-199,185,0.000,0
Rich Barnes,Right,75-79,76,180-199,186,0.000,0
Rich Yett,Right,70-74,74,180-199,187,0.000,0
Chuck Porter,Right,75-79,75,180-199,187,0.000,0
Bobby Cuellar,Right,70-74,71,180-199,188,0.000,0
Mike Paxton,Right,70-74,71,180-199,190,0.000,0
Kevin Stanfield,Left,70-74,72,180-199,190,0.000,0
Mel Stottlemyre,Right,70-74,72,180-199,190,0.000,0
Eric Wilkins,Right,70-74,73,180-199,190,0.000,0
Bruce Robbins,Left,70-74,73,180-199,190,0.000,0
Bert Bradley,Both,70-74,73,180-199,190,0.000,0
Greg Erardi,Right,70-74,73,180-199,190,0.000,0
Mark Esser,Right,70-74,73,180-199,190,0.000,0
Dave Smith,Right,70-74,73,180-199,190,0.000,0
Craig Chamberlain,Right,70-74,73,180-199,190,0.000,0
Mark Brown,Both,70-74,74,180-199,190,0.000,0
Tom Klawitter,Right,70-74,74,180-199,190,0.000,0
Mike Overy,Right,70-74,74,180-199,190,0.000,0
Rickey Keeton,Right,70-74,74,180-199,190,0.000,0
Dennis DeBarr,Left,70-74,74,180-199,190,0.000,0
Rick Lysander,Right,70-74,74,180-199,190,0.000,0
John Hoover,Right,70-74,74,180-199,190,0.000,0
Tom Dozier,Right,70-74,74,180-199,190,0.000,0
Joe Skalski,Right,75-79,75,180-199,190,0.000,0
Roger Weaver,Right,75-79,75,180-199,190,0.000,0
Jim Gideon,Right,75-79,75,180-199,190,0.000,0
Larry Anderson,Right,75-79,75,180-199,190,0.000,0
John Hobbs,Right,75-79,75,180-199,190,0.000,0
Roger Slagle,Right,75-79,75,180-199,190,0.000,0
Fred Howard,Right,75-79,75,180-199,190,0.000,0
Jim Lewis,Right,75-79,75,180-199,190,0.000,0
Albert Williams,Right,75-79,76,180-199,190,0.000,0
Dave Ford,Right,75-79,76,180-199,190,0.000,0
T.R. Bryden,Right,75-79,76,180-199,190,0.000,0
Mike Darr,Right,75-79,76,180-199,190,0.000,0
Karl Best,Right,75-79,76,180-199,190,0.000,0
Keith Macwhorter,Right,75-79,76,180-199,190,0.000,0
Alan Wirth,Right,75-79,76,180-199,190,0.000,0
Rick Jones,Left,75-79,77,180-199,190,0.000,0
Jim Dorsey,Right,75-79,79,180-199,190,0.000,0
Ed Hodge,Left,70-74,74,180-199,192,0.000,0
Bryan Oelkers,Left,75-79,75,180-199,192,0.000,0
Les Straker,Right,70-74,73,180-199,193,0.000,0
Nardi Contreras,Both,70-74,74,180-199,193,0.000,0
Ralph Botting,Left,70-74,72,180-199,195,0.000,0
Howard Bailey,Right,70-74,72,180-199,195,0.000,0
Jerry Ujdur,Right,70-74,73,180-199,195,0.000,0
Paul Mitchell,Right,70-74,73,180-199,195,0.000,0
Chuck Hockenbery,Both,70-74,73,180-199,195,0.000,0
Jim Farr,Right,70-74,73,180-199,195,0.000,0
Steve Davis,Left,70-74,73,180-199,195,0.000,0
Sandy Wihtol,Right,70-74,73,180-199,195,0.000,0
