year;city;country;avg_temp;7Y M-AVG
1808;Cairo;Egypt;17.11;
1809;Cairo;Egypt;19.87;
1810;Cairo;Egypt;19.93;
1811;Cairo;Egypt;20;
1812;Cairo;Egypt;19.93;
1813;Cairo;Egypt;20.51;
1814;Cairo;Egypt;20.43;19.68
1815;Cairo;Egypt;20.3;20.14
1816;Cairo;Egypt;20.51;20.23
1817;Cairo;Egypt;21.88;20.51
1818;Cairo;Egypt;11.6;19.31
1819;Cairo;Egypt;20.31;19.36
1820;Cairo;Egypt;20.58;19.37
1821;Cairo;Egypt;20.63;19.40
1822;Cairo;Egypt;20.72;19.46
1823;Cairo;Egypt;20.71;19.49
1824;Cairo;Egypt;21.44;19.43
1825;Cairo;Egypt;21;20.77
1826;Cairo;Egypt;20.94;20.86
1827;Cairo;Egypt;21.63;21.01
1828;Cairo;Egypt;20.99;21.06
1829;Cairo;Egypt;20.91;21.09
1830;Cairo;Egypt;21.25;21.17
1831;Cairo;Egypt;20.52;21.03
1832;Cairo;Egypt;20.2;20.92
1833;Cairo;Egypt;20.81;20.90
1834;Cairo;Egypt;20.69;20.77
1835;Cairo;Egypt;20.17;20.65
1836;Cairo;Egypt;20.59;20.60
1837;Cairo;Egypt;20.27;20.46
1838;Cairo;Egypt;20.21;20.42
1839;Cairo;Egypt;20.43;20.45
1840;Cairo;Egypt;20.56;20.42
1841;Cairo;Egypt;20.91;20.45
1842;Cairo;Egypt;20.92;20.56
1843;Cairo;Egypt;20.83;20.59
1844;Cairo;Egypt;20.66;20.65
1845;Cairo;Egypt;20.9;20.74
1846;Cairo;Egypt;21.57;20.91
1847;Cairo;Egypt;21.1;20.98
1848;Cairo;Egypt;20.89;20.98
1849;Cairo;Egypt;20.9;20.98
1850;Cairo;Egypt;20.39;20.92
1851;Cairo;Egypt;21.11;20.98
1852;Cairo;Egypt;21.04;21.00
1853;Cairo;Egypt;21.53;20.99
1854;Cairo;Egypt;20.74;20.94
1855;Cairo;Egypt;21.04;20.96
1856;Cairo;Egypt;20.49;20.91
1857;Cairo;Egypt;20.29;20.89
1858;Cairo;Egypt;20.9;20.86
1859;Cairo;Egypt;20.98;20.85
1860;Cairo;Egypt;21.33;20.82
1861;Cairo;Egypt;20.21;20.75
1862;Cairo;Egypt;20.22;20.63
1863;Cairo;Egypt;20.6;20.65
1864;Cairo;Egypt;21.25;20.78
1865;Cairo;Egypt;21.55;20.88
